id,title,start_time,end_time,latitude,longitude,category,venue
1,Melbourne Music Week Opening,2025-10-17 18:00:00,2025-10-17 23:00:00,-37.8136,144.9631,Music,Town Hall
2,Federation Square Night Market,2025-10-17 17:00:00,2025-10-17 23:00:00,-37.8179,144.9690,Market,Federation Square
3,Southbank Evening Jazz,2025-10-17 19:00:00,2025-10-17 22:30:00,-37.8223,144.9643,Music,Southbank
4,NGV Friday Nights,2025-10-24 18:00:00,2025-10-24 22:00:00,-37.8226,144.9689,Art,National Gallery of Victoria
5,Southbank Weekend Pop-up,2025-10-25 11:00:00,2025-10-25 16:00:00,-37.8223,144.9643,Market,Southbank Promenade
6,Federation Square Food Truck Festival,2025-10-20 12:00:00,2025-10-20 20:00:00,-37.8179,144.9690,Food,Federation Square
7,St Kilda Esplanade Sunday Market,2025-10-20 10:00:00,2025-10-20 16:00:00,-37.8679,144.9769,Market,St Kilda Esplanade
8,Melbourne Marathon,2025-10-13 07:00:00,2025-10-13 13:00:00,-37.8183,144.9671,Sports,Melbourne CBD
9,Docklands Night Market,2025-10-19 17:00:00,2025-10-19 22:00:00,-37.8148,144.9450,Market,Docklands
10,Carlton Gardens Spring Fair,2025-10-26 10:00:00,2025-10-26 17:00:00,-37.8047,144.9717,Outdoor,Carlton Gardens
11,Melbourne Comedy Festival Launch,2025-10-21 19:00:00,2025-10-21 23:00:00,-37.8103,144.9686,Entertainment,Melbourne Town Hall
12,Brunswick Street Festival,2025-10-27 11:00:00,2025-10-27 19:00:00,-37.7992,144.9781,Street Festival,Brunswick Street
13,Collingwood Farmers Market,2025-10-19 08:00:00,2025-10-19 13:00:00,-37.8049,144.9891,Market,Collingwood Children's Farm
14,Melbourne Cup Carnival,2025-11-05 10:00:00,2025-11-05 18:00:00,-37.8226,144.8972,Sports,Flemington Racecourse
15,Fitzroy Night Market,2025-10-18 17:00:00,2025-10-18 22:00:00,-37.7992,144.9781,Market,Fitzroy
16,Yarra River Outdoor Yoga,2025-10-20 07:00:00,2025-10-20 09:00:00,-37.8225,144.9631,Outdoor,Yarra River
17,Chapel Street Bazaar,2025-10-26 10:00:00,2025-10-26 16:00:00,-37.8536,144.9955,Market,Chapel Street
18,Melbourne Fringe Festival Opening,2025-10-23 18:00:00,2025-10-23 22:00:00,-37.8136,144.9631,Arts,Melbourne CBD
19,Prahran Market Weekend,2025-10-19 07:00:00,2025-10-19 17:00:00,-37.8515,145.0031,Market,Prahran Market
20,Degraves Street Jazz Night,2025-10-24 19:00:00,2025-10-24 23:00:00,-37.8172,144.9685,Music,Degraves Street
